tm_id,name,club,nat1,nat2,age,position,market_value,tracked
539577,John Ross Wilson,Dundalk FC,Ireland,,27,,€150k,yes
540872,Darragh Nugent,St. Patrick's Athletic,Ireland,,25,,€150k,yes
540876,Promise Omochere,Bristol Rovers,Ireland,Nigeria,25,,€275k,
541448,Oisin McEntee,Heart of Midlothian FC,Ireland,United States,90,,€500k,
542884,Alex Gilbert,Without ClubWithout Club,Ireland,England,55,,€1.00m,yes
546024,Andy Lyons,Blackpool FC,Ireland,,26,,€375k,
546159,Will Fitzgerald,Shamrock Rovers,Ireland,,27,,€225k,
549569,Jordan McEneff,Larne FC,Ireland,Northern Ireland,25,,€175k,
550134,Ciaran Brennan,Newport County,Ireland,,26,,€75k,
550641,Reece Staunton,Grimsby Town,Ireland,England,24,,€300k,
552652,Adam O'Reilly,Derry City,Ireland,,25,,€250k,yes
552655,Troy Parrott,Real Betis Balompié,Ireland,,3,,€25.00m,yes
561454,Mark McGuinness,Sheffield United,Ireland,England,12,,€7.00m,yes
562553,Jon Gallagher,Austin FC,Ireland,,39,,€1.80m,
567574,Shane Farrell,Drogheda United FC,Ireland,,26,,€175k,yes
567749,Daniel Kelly,Shelbourne FC,Ireland,,30,,€150k,yes
567750,Jamie Lennon,St. Patrick's Athletic,Ireland,,28,,€250k,yes
568319,Luke Heeney,Waterford FC,Ireland,,27,,€125k,yes
570864,Tony Springett,Leyton Orient,Ireland,England,64,,€800k,yes
571827,Lewis Richards,Crawley Town,Ireland,England,24,,€150k,
572780,Liam Kerrigan,AC Renate,Ireland,,26,,€150k,yes
572810,Jaze Kabia,Leyton Orient,Ireland,England,26,,€200k,yes
577557,Danny Grant,Shamrock Rovers,Ireland,,26,,€250k,yes
579997,Conor Grant,Notts County,Ireland,,25,,€225k,
580027,Luca Connell,Barnsley FC,Ireland,England,65,,€800k,
580030,James Furlong,Walsall FC,Ireland,,24,,€100k,
581330,Eiran Cashin,Brighton & Hove Albion,Ireland,England,16,,€5.00m,
581670,Louie Barry,Sheffield Wednesday,Ireland,England,30,,€2.50m,yes
581675,Harvey Vale,Queens Park Rangers,Ireland,England,21,,€4.00m,yes
585550,Gavin Bazunu,Southampton FC,Ireland,Nigeria,9,,€8.00m,
