slug,name,club,league,tier,pos,ireland_level
sean-boyd,Seán Boyd,Shelbourne,League of Ireland,loi,FWD,
sean-gannon,Seán Gannon,Shelbourne,League of Ireland,loi,DEF,
sean-grehan,Sean Grehan,Doncaster Rovers,,abroad-lower,DEF,U21
sean-hoare,Seán Hoare,St. Patrick's Athletic,League of Ireland,loi,DEF,
sean-keane,Sean Keane,Waterford FC,League of Ireland,loi,MID,
sean-keogh,Sean Keogh,Brighton & Hove Albion,,abroad-lower,DEF,U21
sean-mcgrath,Sean McGrath,Drogheda United,League of Ireland,loi,MID,
sean-mchale,Sean McHale,Sligo Rovers,League of Ireland,loi,DEF,
sean-molloy,Sean Molloy,St. Patrick's Athletic,League of Ireland,loi,GK,
sean-moore,Sean Moore,Shelbourne,League of Ireland,loi,MID,
sean-murphy,Sean Murphy,UCD,League of Ireland,loi,DEF,U19
sean-spaight,Sean Spaight,Dundalk,League of Ireland,loi,DEF,U17
senan-mullen,Senan Mullen,Bohemian FC,League of Ireland,loi,DEF,
shane-duffy,Shane Duffy,Dundalk,League of Ireland,loi,DEF,Senior
shane-farrell,Shane Farrell,Drogheda United,League of Ireland,loi,MID,
shane-tracey,Shane Tracey,Dundalk,League of Ireland,loi,MID,
shaun-platt,Shaun Platt,Dundalk,League of Ireland,loi,FWD,
shay-casey,Shay Casey,Dundalk,League of Ireland,loi,MID,
simon-power,Simon Power,St. Patrick's Athletic,League of Ireland,loi,FWD,
sinclair-armstrong,Sinclair Armstrong,Göztepe,,,FWD,
stephen-bradley,Stephen Bradley,Shamrock Rovers,League of Ireland,loi,,
stephen-kenny,Stephen Kenny,St. Patrick's Athletic,League of Ireland,loi,,
stephen-walsh,Stephen Walsh,Galway United FC,League of Ireland,loi,FWD,
tadhg-prizeman,Tadhg Prizeman,Shamrock Rovers,League of Ireland,loi,DEF,U17
tayo-adaramola,Tayo Adaramola,Crystal Palace,,abroad-lower,DEF,Senior
terence-doherty,Terence Doherty,Derry City,League of Ireland,loi,FWD,
theo-hennessy,Theo Hennessy,Drogheda United,League of Ireland,loi,GK,
thomas-oconnor,Thomas O'Connor,Wrexham,,abroad-lower,MID,U21
thomas-oluwa,Thomas Oluwa,Drogheda United,League of Ireland,loi,FWD,
todd-bazunu,Todd Bazunu,Shamrock Rovers,League of Ireland,loi,GK,
tom-cannon,Tom Cannon,Sheffield United,,abroad-lower,FWD,Senior
tom-lonergan,Tom Lonergan,Waterford FC,League of Ireland,loi,FWD,
tom-mcgrath,Tom McGrath,Cork City,League of Ireland,loi,MID,U17
tommy-lonergan,Tommy Lonergan,Waterford,League of Ireland,loi,FWD,U21
trent-kone-doherty,Trent Koné-Doherty,Molde,,,FWD,
trevor-clarke,Trevor Clarke,Dundalk,League of Ireland,loi,FWD,
troy-parrott,Troy Parrott,AZ Alkmaar,,abroad-lower,FWD,Senior
tunmise-sobowale,Tunmise Sobowale,Shamrock Rovers,League of Ireland,loi,DEF,
tyreke-wilson,Tyreke Wilson,Dundalk,League of Ireland,loi,DEF,
victor-ozhianvuna,Victor Ozhianvuna,Shamrock Rovers,League of Ireland,loi,MID,U17
vinnie-leonard,Vinnie Leonard,Norwich City,,abroad-lower,DEF,U17
warren-davis,Warren Davis,Drogheda United,League of Ireland,loi,FWD,
will-ferry,Will Ferry,Dundee United,,abroad-lower,DEF,Senior
will-smallbone,Will Smallbone,Stoke City,,abroad-lower,MID,Senior
william-fitzgerald,William Fitzgerald,Shamrock Rovers,League of Ireland,loi,FWD,
zack-elbouzedi,Zack Elbouzedi,St. Patrick's Athletic,League of Ireland,loi,MID,
