slug,date,tag,headline,standfirst,body,author,image,player_slug,expires,use_player_photo,partner,partner_url,weight
report-2026-08-29-charlton-athletic-v-preston-north-end,2026-08-29,,Millenic Alli and Dan McNamara shine as Charlton Athletic beat Preston North End 1-0,"Championship: Millenic Alli (1 assist, rated 7.6); Dan McNamara (rated 7.5).","Charlton Athletic beat Preston North End 1-0 in the Championship on Saturday 29 August.

## The Irish on the pitch
- [Millenic Alli](/player/millenic-alli.html) set up 1, played 45 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 1 assist in 2 appearances.
- [Dan McNamara](/player/dan-mcnamara.html) played 90 minutes, finished on a 7.5 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,millenic-alli,2026-09-01T00:00,yes,,,71
report-2026-08-29-plymouth-argyle-v-bradford-city,2026-08-29,,Ronan Curtis shines as Plymouth Argyle beat Bradford City 2-0,League One: Ronan Curtis (rated 8.0).,"Plymouth Argyle beat Bradford City 2-0 in the League One on Saturday 29 August.

## The Irish on the pitch
- [Ronan Curtis](/player/ronan-curtis.html) played 89 minutes, finished on a 8.0 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,ronan-curtis,2026-09-01T00:00,yes,,,70
report-2026-08-29-sporting-jax-v-brooklyn,2026-08-29,,Kieran Sadlier scores but Sporting JAX fall to Brooklyn 4-1,"USL Championship: Kieran Sadlier (1 goal, rated 6.6).","Sporting JAX lose to Brooklyn 1-4 in the USL Championship on Saturday 29 August.

## The Irish on the pitch
- [Kieran Sadlier](/player/kieran-sadlier.html) scored 1, played 35 minutes, finished on a 6.6 match rating. That leaves the season at 9 goals and 1 assist in 21 appearances.",Jack Deane,,kieran-sadlier,2026-09-01T00:00,yes,,,65
report-2026-08-29-spartans-fc-v-clyde,2026-08-29,,Ricardo Dinanga scores as Spartans FC draw 3-3 with Clyde,League Two: Ricardo Dinanga (1 goal).,"Spartans FC draw with Clyde 3-3 in the League Two on Saturday 29 August.

## The Irish on the pitch
- [Ricardo Dinanga](/player/ricardo-dinanga.html) scored 1, played 23 minutes. That leaves the season at 2 goals and 0 assists in 4 appearances.",Jack Deane,,ricardo-dinanga,2026-09-01T00:00,yes,,,65
report-2026-08-29-notts-county-v-burton-albion,2026-08-29,,Rory Finneran shines as Notts County beat Burton Albion 2-1,League One: Rory Finneran (rated 7.8).,"Notts County beat Burton Albion 2-1 in the League One on Saturday 29 August.

## The Irish on the pitch
- [Rory Finneran](/player/rory-finneran.html) played 90 minutes, finished on a 7.8 match rating. That leaves the season at 0 goals and 0 assists in 1 appearances.",Jack Deane,,rory-finneran,2026-09-01T00:00,yes,,,57
report-2026-08-29-stockport-county-v-wycombe-wanderers,2026-08-29,,Eoghan O'Connell shines as Stockport County beat Wycombe Wanderers 5-1,League One: Eoghan O'Connell (rated 7.7).,"Stockport County beat Wycombe Wanderers 5-1 in the League One on Saturday 29 August.

## The Irish on the pitch
- [Eoghan O'Connell](/player/eoghan-oconnell.html) played 90 minutes, finished on a 7.7 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,eoghan-oconnell,2026-09-01T00:00,yes,,,54
report-2026-08-29-blackpool-v-peterborough-united,2026-08-29,,CJ Hamilton shines as Blackpool beat Peterborough United 4-0,League One: CJ Hamilton (rated 7.6).,"Blackpool beat Peterborough United 4-0 in the League One on Saturday 29 August.

## The Irish on the pitch
- [CJ Hamilton](/player/cj-hamilton.html) played 90 minutes, finished on a 7.6 match rating. That leaves the season at 0 goals and 0 assists in 3 appearances.",Jack Deane,,cj-hamilton,2026-09-01T00:00,yes,,,51
report-2026-08-29-barnet-v-cheltenham-town,2026-08-29,,Oisín Gallagher shines as Barnet draw 2-2 with Cheltenham Town,League Two: Oisín Gallagher (rated 7.8).,"Barnet draw with Cheltenham Town 2-2 in the League Two on Saturday 29 August.

## The Irish on the pitch
- [Oisín Gallagher](/player/oisin-gallagher.html) played 90 minutes, finished on a 7.8 match rating. That leaves the season at 1 goal and 0 assists in 3 appearances.",Jack Deane,,oisin-gallagher,2026-09-01T00:00,yes,,,48
report-2026-08-28-dundalk-v-drogheda-united,2026-08-28,,Daryl Horgan and Brandon Kavanagh score as Dundalk beat Drogheda United 3-2,"Premier Division: Daryl Horgan (1 goal, 1 assist, rated 8.8); Brandon Kavanagh (1 goal, rated 8.7); Cian Dillon (1 goal, rated 7.6); Ronan Teahan (1 goal, rated 7.2).","Dundalk beat Drogheda United 3-2 in the Premier Division on Friday 28 August.

## The Irish on the pitch
- [Daryl Horgan](/player/daryl-horgan.html) scored 1, set up 1, played 90 minutes, finished on a 8.8 match rating. That leaves the season at 10 goals and 10 assists in 28 appearances.
- [Brandon Kavanagh](/player/brandon-kavanagh.html) scored 1, played 90 minutes, finished on a 8.7 match rating. That leaves the season at 3 goals and 5 assists in 28 appearances.
- [Cian Dillon](/player/cian-dillon.html) scored 1, played 90 minutes, finished on a 7.6 match rating. That leaves the season at 1 goal and 0 assists in 5 appearances.
- [Ronan Teahan](/player/ronan-teahan.html) scored 1, played 45 minutes, finished on a 7.2 match rating. That leaves the season at 3 goals and 1 assist in 23 appearances.",Jack Deane,,daryl-horgan,2026-08-31T00:00,yes,,,257
report-2026-08-28-bohemian-fc-v-sligo-rovers,2026-08-28,,Dawson Devoy and Senan Mullen score as Bohemian FC beat Sligo Rovers 3-0,"Premier Division: Dawson Devoy (1 goal, rated 8.7); Senan Mullen (rated 8.3); Cian Byrne (rated 8.0); Harry Vaughan (1 assist, rated 7.9); Darragh Power (rated 7.8).","Bohemian FC beat Sligo Rovers 3-0 in the Premier Division on Friday 28 August.

## The Irish on the pitch
- [Dawson Devoy](/player/dawson-devoy.html) scored 1, played 82 minutes, finished on a 8.7 match rating. That leaves the season at 3 goals and 5 assists in 27 appearances.
- [Senan Mullen](/player/senan-mullen.html) played 90 minutes, finished on a 8.3 match rating. That leaves the season at 0 goals and 1 assist in 19 appearances.
- [Cian Byrne](/player/cian-byrne.html) played 90 minutes, finished on a 8.0 match rating. That leaves the season at 1 goal and 0 assists in 19 appearances.
- [Harry Vaughan](/player/harry-vaughan.html) set up 1, played 70 minutes, finished on a 7.9 match rating. That leaves the season at 3 goals and 4 assists in 23 appearances.
- [Darragh Power](/player/darragh-power.html) played 90 minutes, finished on a 7.8 match rating. That leaves the season at 0 goals and 0 assists in 28 appearances.",Jack Deane,,dawson-devoy,2026-08-31T00:00,yes,,,184
