slug,date,season,from_club,to_club,fee,market_value,kind
nathan-collins,2021-07-01,21/22,Stoke City,Burnley,€14.00m,€8.00m,fee
nathan-collins,2019-07-01,19/20,Stoke City U23,Stoke City,-,-,
nathan-collins,2018-07-01,18/19,Stoke U18,Stoke City U23,-,-,
nathan-collins,2016-07-01,16/17,Cherry Orchard FC,Stoke U18,?,-,
nathan-fraser,2024-12-12,24/25,Zulte Waregem,Wolves,End of loan,€800k,loan end
nathan-fraser,2024-08-19,24/25,Wolves,Zulte Waregem,loan transfer,€1.00m,loan
nathan-fraser,2024-01-01,23/24,Wolves U21,Wolves,-,€1.00m,
nathan-fraser,2022-07-01,22/23,Wolves U18,Wolves U21,-,-,
nathan-fraser,2021-07-01,21/22,Wolves Yth.,Wolves U18,-,-,
neil-farrugia,2026-01-14,25/26,Barnsley,Dundee United,?,€125k,
neil-farrugia,2025-01-03,24/25,Shamrock Rovers,Barnsley,free transfer,€125k,free
neil-farrugia,2019-07-01,19/20,UCD,Shamrock Rovers,?,-,
neil-farrugia,2017-01-01,16/17,UCD Academy,UCD,-,-,
neil-farrugia,2015-07-01,15/16,Belvedere FC,UCD Academy,free transfer,-,free
neill-byrne,2026-07-01,26/27,Bradford,Doncaster,free transfer,€50k,free
neill-byrne,2026-06-30,25/26,Doncaster,Bradford,End of loan,€50k,loan end
neill-byrne,2026-01-26,25/26,Bradford,Doncaster,loan transfer,€50k,loan
neill-byrne,2024-07-01,24/25,Stockport,Bradford,?,€100k,
neill-byrne,2023-01-06,22/23,Tranmere,Stockport,?,€50k,
neill-byrne,2022-07-01,22/23,Hartlepool,Tranmere,?,€50k,
neill-byrne,2021-07-16,21/22,Halifax Town,Hartlepool,?,€50k,
neill-byrne,2020-09-23,20/21,Fylde,Halifax Town,free transfer,€50k,free
neill-byrne,2018-07-01,18/19,Gateshead,Fylde,free transfer,€50k,free
neill-byrne,2017-07-01,17/18,Macclesfield,Gateshead,free transfer,€50k,free
neill-byrne,2015-07-11,15/16,Telford Utd,Macclesfield,free transfer,€50k,free
neill-byrne,2013-07-01,13/14,Rochdale,Telford Utd,free transfer,€50k,free
neill-byrne,2013-04-28,12/13,Southport,Rochdale,End of loan,€50k,loan end
neill-byrne,2013-01-31,12/13,Rochdale,Southport,loan transfer,€50k,loan
neill-byrne,2012-12-19,12/13,Barrow,Rochdale,End of loan,€50k,loan end
neill-byrne,2012-11-22,12/13,Rochdale,Barrow,loan transfer,€50k,loan
neill-byrne,2012-01-01,11/12,Nottingham U18,Rochdale,free transfer,€50k,free
niall-canavan,2026-08-01,26/27,Barrow,Boston Utd,free transfer,€50k,free
niall-canavan,2022-01-31,21/22,Bradford,Barrow,?,€125k,
niall-canavan,2021-01-12,20/21,Plymouth,Bradford,?,€125k,
niall-canavan,2018-07-01,18/19,Rochdale,Plymouth,free transfer,€125k,free
niall-canavan,2016-07-01,16/17,Scunthorpe Utd.,Rochdale,free transfer,€125k,free
niall-canavan,2016-06-30,15/16,Rochdale,Scunthorpe Utd.,End of loan,€125k,loan end
niall-canavan,2016-02-15,15/16,Scunthorpe Utd.,Rochdale,loan transfer,€100k,loan
niall-canavan,2011-05-01,10/11,Shrewsbury,Scunthorpe Utd.,End of loan,€50k,loan end
niall-canavan,2011-03-01,10/11,Scunthorpe Utd.,Shrewsbury,loan transfer,€50k,loan
niall-canavan,2009-07-01,09/10,Scunthorpe U18,Scunthorpe Utd.,-,-,
niall-morahan,2025-01-01,24/25,Sligo Rovers,Bohemians,free transfer,€150k,free
niall-morahan,2017-08-02,17/18,Sligo Academy,Sligo Rovers,-,-,
niall-sullivan,2026-02-05,25/26,Pat's Academy,St. Pat's,-,-,
noah-jauny,2026-08-12,26/27,Stade Brestois,Francs Borains,?,-,
noah-jauny,2024-07-01,24/25,Brest B,Stade Brestois,-,-,
noah-jauny,2022-07-01,22/23,Stade Brest U19,Brest B,-,-,
noah-jauny,2020-07-01,20/21,Rovers Academy,Stade Brest U19,?,-,
noah-jauny,2016-07-01,16/17,Farm Academy,Rovers Academy,free transfer,-,free
noah-obrien,2025-02-15,24/25,WFC Academy,Waterford FC,-,-,
odhran-casey,2026-01-14,25/26,Cliftonville,Shelbourne,€115k,€175k,fee
odhran-casey,2022-05-31,21/22,Newry City,Cliftonville,End of loan,€25k,loan end
odhran-casey,2022-01-31,21/22,Cliftonville,Newry City,loan transfer,€25k,loan
odhran-casey,2020-08-11,20/21,Cliftonv. U18,Cliftonville,-,-,
oisin-duffy,2026-07-01,26/27,Strabane AFC,Limavady United,free transfer,-,free
oisin-duffy,2025-07-01,25/26,Institute,Strabane AFC,free transfer,-,free
oisin-duffy,2024-07-01,24/25,Derry Academy,Institute,free transfer,-,free
oisin-gallagher,2026-07-21,26/27,Lincoln City,Barnet,loan transfer,-,loan
oisin-gallagher,2026-05-31,25/26,Boston Utd,Lincoln City,End of loan,-,loan end
oisin-gallagher,2025-11-15,25/26,Lincoln City,Boston Utd,loan transfer,-,loan
oisin-gallagher,2025-05-08,24/25,Boston Utd,Lincoln City,End of loan,€50k,loan end
oisin-gallagher,2025-01-09,24/25,Lincoln City,Boston Utd,loan transfer,€50k,loan
oisin-gallagher,2025-01-08,24/25,Peterb Sports,Lincoln City,End of loan,€50k,loan end
oisin-gallagher,2024-08-09,24/25,Lincoln City,Peterb Sports,loan transfer,€50k,loan
oisin-gallagher,2024-06-30,23/24,Drogheda United,Lincoln City,End of loan,€50k,loan end
oisin-gallagher,2024-01-15,23/24,Lincoln City,Drogheda United,loan transfer,-,loan
oisin-gallagher,2024-01-01,23/24,Peterb Sports,Lincoln City,End of loan,-,loan end
oisin-gallagher,2023-10-13,23/24,Lincoln City,Peterb Sports,loan transfer,-,loan
oisin-gallagher,2023-07-01,23/24,Lincoln U18,Lincoln City,-,-,
oisin-gallagher,2023-04-21,22/23,Barwell,Lincoln U18,End of loan,-,loan end
oisin-gallagher,2023-02-04,22/23,Lincoln U18,Barwell,loan transfer,-,loan
oisin-gallagher,2021-07-01,21/22,Derry Academy,Lincoln U18,?,-,
oisin-kelly,2026-02-14,25/26,Sligo Academy,Sligo Rovers,-,-,
oisin-mcdonagh,2025-07-01,25/26,Venezia U17,Venezia U19,-,-,
oisin-mcdonagh,2024-08-26,24/25,Wexford FC,Venezia U17,?,-,
oisin-mcdonagh,2024-01-29,23/24,Rovers Academy,Wexford FC,free transfer,-,free
oisin-mcdonagh,2022-01-01,21/22,Glynn Barntown,Rovers Academy,free transfer,-,free
oisin-mcentee,2025-07-01,25/26,Walsall,Heart of Midl.,free transfer,€200k,free
oisin-mcentee,2022-07-01,22/23,Newcastle U21,Walsall,free transfer,€125k,free
oisin-mcentee,2022-05-01,21/22,Morton,Newcastle U23,End of loan,€125k,loan end
oisin-mcentee,2021-08-31,21/22,Newcastle U23,Morton,loan transfer,-,loan
oisin-mcentee,2019-07-01,19/20,Newcastle U18,Newcastle U23,-,-,
oisin-obrien,2026-06-19,25/26,Derry Academy,Derry City,-,-,
olamide-ibrahim,2026-07-01,26/27,Bala,Without Club,-,€50k,
olamide-ibrahim,2025-08-08,25/26,Legnago,Bala,free transfer,€50k,free
olamide-ibrahim,2025-06-30,24/25,Portogruaro,Legnago,End of loan,€50k,loan end
olamide-ibrahim,2025-01-24,24/25,Legnago,Portogruaro,loan transfer,€50k,loan
olamide-ibrahim,2024-08-01,24/25,Kety Bistrica,Legnago,free transfer,€100k,free
olamide-ibrahim,2024-02-14,23/24,Without Club,Kety Bistrica,-,-,
olamide-ibrahim,2023-07-01,23/24,Derby U21,Without Club,-,€100k,
olamide-ibrahim,2022-11-14,22/23,Hednesford,Derby U21,End of loan,€100k,loan end
olamide-ibrahim,2022-10-17,22/23,Derby U21,Hednesford,loan transfer,€100k,loan
olamide-ibrahim,2022-07-01,22/23,Derby U18,Derby U21,-,€100k,
olamide-ibrahim,2020-07-01,20/21,Man Utd Youth,Derby U18,free transfer,-,free
ollie-oneill,2024-01-23,23/24,Fulham U21,Leyton Orient,?,€250k,
ollie-oneill,2023-06-30,22/23,Derry City,Fulham U21,End of loan,€250k,loan end
ollie-oneill,2023-02-16,22/23,Fulham U21,Derry City,loan transfer,€250k,loan
ollie-oneill,2021-07-01,21/22,Fulham U18,Fulham U23,-,-,
ollie-oneill,2019-07-01,19/20,Fulham Youth,Fulham U18,-,-,
ollie-oneill,2016-07-01,16/17,Brentford Yth.,Fulham Youth,free transfer,-,free
onesime-tembe,2026-08-08,26/27,Nocerina,Ragusa,free transfer,€50k,free
onesime-tembe,2026-02-09,25/26,Without Club,Nocerina,-,-,
onesime-tembe,2026-01-01,25/26,Akademisk BK,Without Club,-,-,
onesime-tembe,2025-12-31,25/26,FC Rosengård,Akademisk BK,End of loan,-,loan end
onesime-tembe,2025-07-08,25/26,Akademisk BK,FC Rosengård,loan transfer,-,loan
onesime-tembe,2024-09-05,24/25,Bohs Academy,Akademisk BK,?,-,
onesime-tembe,2024-01-01,23/24,Rovers Academy,Bohs Academy,free transfer,-,free
orion-cala,2025-07-11,25/26,WFC Academy,Waterford FC,-,-,
owen-elding,2026-01-29,25/26,Sligo Rovers,Hibernian FC,€400k,€350k,fee
owen-elding,2023-02-01,22/23,LTFC Academy,Sligo Rovers,free transfer,-,free
owen-elding,2021-07-01,21/22,Sligo Academy,LTFC Academy,free transfer,-,free
owen-mason,2026-08-14,26/27,Mansfield Town,Bromley,?,€50k,
owen-mason,2026-04-26,25/26,Southend United,Mansfield Town,End of loan,€50k,loan end
owen-mason,2026-01-20,25/26,Mansfield Town,Southend United,loan transfer,€50k,loan
owen-mason,2025-05-31,24/25,Gateshead,Mansfield Town,End of loan,-,loan end
owen-mason,2024-11-13,24/25,Mansfield Town,Gateshead,loan transfer,€50k,loan
owen-mason,2024-07-25,24/25,Wexford FC,Mansfield Town,End of loan,€50k,loan end
owen-mason,2023-07-12,23/24,Mansfield Town,Wexford FC,loan transfer,€50k,loan
owen-mason,2023-05-31,22/23,Farsley,Mansfield Town,End of loan,-,loan end
owen-mason,2022-09-12,22/23,Mansfield Town,Farsley,loan transfer,-,loan
owen-mason,2022-07-01,22/23,Mansfield U18,Mansfield Town,-,-,
owen-mason,2022-01-09,21/22,Guiseley,Mansfield U18,End of loan,-,loan end
owen-mason,2021-12-11,21/22,Mansfield U18,Guiseley,loan transfer,-,loan
paddy-madden,2026-08-11,26/27,Chesterfield,Bohemians,free transfer,€25k,free
paddy-madden,2026-05-31,25/26,Accrington,Chesterfield,End of loan,€25k,loan end
paddy-madden,2025-08-21,25/26,Chesterfield,Accrington,loan transfer,€50k,loan
paddy-madden,2024-07-01,24/25,Stockport,Chesterfield,free transfer,-,free
paddy-madden,2021-03-15,20/21,Fleetwood,Stockport,€180k,-,fee
paddy-madden,2018-01-02,17/18,Scunthorpe Utd.,Fleetwood,€170k,€350k,fee
paddy-madden,2014-01-10,13/14,Yeovil Town,Scunthorpe Utd.,€250k,€250k,fee
paddy-madden,2013-01-02,12/13,Carlisle United,Yeovil Town,?,€50k,
paddy-madden,2013-01-01,12/13,Yeovil Town,Carlisle United,End of loan,€50k,loan end
paddy-madden,2012-10-04,12/13,Carlisle United,Yeovil Town,loan transfer,€50k,loan
paddy-madden,2011-01-31,10/11,Bohemians,Carlisle United,€25k,€50k,fee
paddy-madden,2009-06-29,08/09,Shelbourne,Bohemians,End of loan,-,loan end
paddy-madden,2009-02-10,08/09,Bohemians,Shelbourne,loan transfer,-,loan
paddy-madden,2008-07-08,08/09,Bohs Academy,Bohemians,-,-,
padraig-amond,2024-01-26,23/24,Woking,Waterford FC,free transfer,-,free
padraig-amond,2022-07-01,22/23,Newport County,Woking,free transfer,€300k,free
padraig-amond,2022-05-31,21/22,Exeter City,Newport County,End of loan,€300k,loan end
padraig-amond,2021-08-10,21/22,Newport County,Exeter City,loan transfer,€300k,loan
padraig-amond,2017-08-23,17/18,Hartlepool,Newport County,?,€300k,
padraig-amond,2016-07-01,16/17,Grimsby Town,Hartlepool,free transfer,€300k,free
padraig-amond,2015-07-01,15/16,Morecambe FC,Grimsby Town,free transfer,€300k,free
padraig-amond,2013-08-01,13/14,Accrington,Morecambe FC,free transfer,€300k,free
padraig-amond,2012-08-13,12/13,Paços Ferreira,Accrington,free transfer,€300k,free
padraig-amond,2012-06-30,11/12,Accrington,Paços Ferreira,End of loan,€300k,loan end
padraig-amond,2011-08-26,11/12,Paços Ferreira,Accrington,loan transfer,€300k,loan
padraig-amond,2010-08-01,10/11,Sligo Rovers,Paços Ferreira,€65k,€100k,fee
padraig-amond,2010-01-01,09/10,Shamrock Rovers,Sligo Rovers,free transfer,€100k,free
padraig-amond,2007-06-30,06/07,Kildare County,Shamrock Rovers,End of loan,-,loan end
padraig-amond,2007-01-01,06/07,Shamrock Rovers,Kildare County,loan transfer,-,loan
padraig-amond,2006-01-01,05/06,Rovers Academy,Shamrock Rovers,-,-,
pat-hoban,2025-07-10,25/26,Derry City,Glentoran,?,€125k,
pat-hoban,2024-01-10,23/24,Dundalk FC,Derry City,€30k,€125k,fee
pat-hoban,2018-01-01,17/18,Without Club,Dundalk FC,-,€50k,
pat-hoban,2017-07-01,17/18,Mansfield Town,Without Club,-,€50k,
pat-hoban,2016-07-01,16/17,Oxford United,Mansfield Town,free transfer,€50k,free
pat-hoban,2016-05-31,15/16,Grimsby Town,Oxford United,End of loan,€50k,loan end
pat-hoban,2016-03-01,15/16,Oxford United,Grimsby Town,loan transfer,€50k,loan
pat-hoban,2016-02-29,15/16,Stevenage,Oxford United,End of loan,€50k,loan end
pat-hoban,2016-02-01,15/16,Oxford United,Stevenage,loan transfer,€50k,loan
pat-hoban,2015-01-01,14/15,Dundalk FC,Oxford United,free transfer,€50k,free
pat-hoban,2013-01-01,12/13,Mervue United,Dundalk FC,free transfer,€50k,free
pat-hoban,2011-07-01,11/12,Bristol City,Mervue United,free transfer,€50k,free
pat-hoban,2010-12-01,10/11,Clevedon Town FC,Bristol City,End of loan,€50k,loan end
pat-hoban,2010-11-01,10/11,Bristol City,Clevedon Town FC,loan transfer,€50k,loan
pat-hoban,2010-07-01,10/11,Mervue United,Bristol City,free transfer,-,free
pat-hoban,2009-01-01,08/09,Mervue Academy,Mervue United,-,-,
patrick-barrett,2023-01-01,22/23,St. Pat's,Shelbourne,free transfer,€75k,free
patrick-barrett,2021-02-23,20/21,Svay Rieng,St. Pat's,free transfer,€200k,free
patrick-barrett,2021-01-15,20/21,Indy Eleven,Svay Rieng,free transfer,€200k,free
patrick-barrett,2018-12-05,18/19,Cincinnati,Indy Eleven,free transfer,€150k,free
patrick-barrett,2018-01-01,17/18,Dundalk FC,Cincinnati,free transfer,€50k,free
patrick-barrett,2017-12-31,17/18,Waterford FC,Dundalk FC,End of loan,€50k,loan end
patrick-barrett,2017-07-31,17/18,Dundalk FC,Waterford FC,loan transfer,€50k,loan
patrick-barrett,2015-01-01,14/15,Galway United,Dundalk FC,free transfer,€50k,free
patrick-barrett,2014-07-28,14/15,Waterford Utd,Galway United,free transfer,€50k,free
patrick-barrett,2014-02-10,13/14,Dundee United,Waterford Utd,free transfer,€50k,free
patrick-barrett,2013-11-03,13/14,Waterford Utd,Dundee United,End of loan,-,loan end
patrick-barrett,2013-07-02,13/14,Dundee United,Waterford Utd,loan transfer,-,loan
patrick-barrett,2013-07-01,13/14,Dundee Utd U20,Dundee United,-,-,
patrick-barrett,2010-10-01,10/11,Aberdeen FC U20,Dundee Utd U20,free transfer,-,free
patrick-mcclean,2026-01-16,25/26,Sligo Rovers,Derry City,€25k,€100k,fee
patrick-mcclean,2025-07-01,25/26,Glentoran,Sligo Rovers,?,€75k,
patrick-mcclean,2023-07-23,23/24,Career break,Glentoran,-,-,
patrick-mcclean,2023-02-12,22/23,Glentoran,Career break,-,-,
patrick-mcclean,2019-07-29,19/20,Derry City,Glentoran,free transfer,-,free
patrick-mcclean,2019-01-02,18/19,Sligo Rovers,Derry City,free transfer,-,free
patrick-mcclean,2018-02-21,17/18,Waterford FC,Sligo Rovers,?,-,
patrick-mcclean,2017-01-01,16/17,Derry City,Waterford FC,free transfer,-,free
patrick-mcclean,2015-01-01,14/15,Derry Academy,Derry City,-,-,
paudie-oconnor,2025-07-01,25/26,Lincoln City,Reading,free transfer,€600k,free
paudie-oconnor,2022-07-01,22/23,Bradford,Lincoln City,free transfer,€100k,free
paudie-oconnor,2019-07-01,19/20,Leeds,Bradford,free transfer,€100k,free
paudie-oconnor,2019-06-30,18/19,Bradford,Leeds,End of loan,€100k,loan end
paudie-oconnor,2019-01-08,18/19,Leeds,Bradford,loan transfer,-,loan
paudie-oconnor,2019-01-07,18/19,Blackpool,Leeds,End of loan,-,loan end
paudie-oconnor,2018-07-06,18/19,Leeds,Blackpool,loan transfer,-,loan
paudie-oconnor,2017-03-06,16/17,Limerick FC,Leeds,?,-,
paudie-oconnor,2015-01-01,14/15,LFC Academy,Limerick FC,-,-,
paul-doyle,2026-01-26,25/26,Drogheda United,Dungannon,free transfer,€100k,free
paul-doyle,2025-01-17,24/25,Dundalk FC,Drogheda United,free transfer,€100k,free
paul-doyle,2022-01-01,21/22,UCD,Dundalk FC,free transfer,€50k,free
paul-doyle,2018-01-01,17/18,Sligo Academy,UCD,free transfer,-,free
paul-mcgovern,2026-07-01,26/27,Glenavon,Falkirk,?,€100k,
paul-mcgovern,2024-08-28,24/25,Newry U18,Glenavon,free transfer,-,free
pearse-obrien,2026-08-01,26/27,Friars,Coastal,free transfer,-,free
pearse-obrien,2026-07-31,26/27,Western Mass,Friars,End of loan,-,loan end
pearse-obrien,2026-05-01,25/26,Friars,Western Mass,loan transfer,-,loan
pearse-obrien,2025-08-01,25/26,Vermont Green,Friars,End of loan,-,loan end
pearse-obrien,2025-05-01,24/25,Friars,Vermont Green,loan transfer,-,loan
pearse-obrien,2024-08-01,24/25,Vermont Green,Friars,End of loan,-,loan end
pearse-obrien,2024-03-27,23/24,Friars,Vermont Green,loan transfer,-,loan
pearse-obrien,2023-08-01,23/24,Oakwood U19,Friars,free transfer,€25k,free
pearse-obrien,2022-11-30,22/23,Hartford,Oakwood U19,End of loan,€25k,loan end
pearse-obrien,2022-02-17,21/22,Oakwood U19,Hartford,loan transfer,€25k,loan
pearse-obrien,2022-01-01,21/22,RSL Academy,Oakwood U19,free transfer,€25k,free
pearse-obrien,2021-11-30,21/22,Real Monarchs,RSL Academy,End of loan,€25k,loan end
pearse-obrien,2021-05-08,20/21,RSL Academy,Real Monarchs,loan transfer,-,loan
pearse-obrien,2021-01-13,20/21,Oakwood U19,RSL Academy,free transfer,-,free
peter-maguire,2026-08-25,26/27,Dungannon,Glenavon,?,€50k,
peter-maguire,2025-07-01,25/26,Ballinamallard,Dungannon,free transfer,-,free
peter-maguire,2023-07-01,23/24,Sligo Rovers,Ballinamallard,?,€50k,
peter-maguire,2023-05-31,22/23,Ballinamallard,Sligo Rovers,End of loan,€50k,loan end
peter-maguire,2022-08-05,22/23,Sligo Rovers,Ballinamallard,loan transfer,€50k,loan
peter-maguire,2021-04-10,20/21,Sligo Academy,Sligo Rovers,-,-,
philip-sanyaolu,2026-08-24,26/27,QPR U21,Bristol Rovers,loan transfer,-,loan
philip-sanyaolu,2026-07-01,26/27,QPR U18,QPR U21,-,-,
philip-sanyaolu,2024-07-01,24/25,QPR Academy,QPR U18,-,-,
pierce-sweeney,2026-07-01,26/27,Exeter City,Cheltenham,free transfer,€200k,free
pierce-sweeney,2021-07-08,21/22,Swindon Town,Exeter City,free transfer,-,free
pierce-sweeney,2021-07-01,21/22,Exeter City,Swindon Town,free transfer,-,free
pierce-sweeney,2016-07-28,16/17,Reading,Exeter City,free transfer,-,free
pierce-sweeney,2012-07-06,12/13,Bray Wanderers,Reading,?,-,
pierce-sweeney,2012-01-01,11/12,Bray Academy,Bray Wanderers,-,-,
pierce-sweeney,2011-08-01,11/12,Dundalk Academy,Bray Academy,free transfer,-,free
pijus-otegbayo,2025-07-01,25/26,Stoke U18,Stoke U21,-,-,
pijus-otegbayo,2024-10-04,24/25,Without Club,Stoke U18,-,-,
pijus-otegbayo,2024-07-01,24/25,Stockport U18,Without Club,-,-,
promise-omochere,2024-07-19,24/25,Fleetwood,Bristol Rovers,€590k,€225k,fee
promise-omochere,2022-07-21,22/23,Bohemians,Fleetwood,?,€100k,
promise-omochere,2019-08-01,19/20,Bohs Academy,Bohemians,-,-,
promise-omochere,2018-01-01,17/18,UCD Academy,Bohs Academy,free transfer,-,free
rabby-tabu-minzamba,2025-01-01,24/25,Montpelier,Portadown,free transfer,-,free
rabby-tabu-minzamba,2024-07-01,24/25,Taunton Town,Montpelier,free transfer,-,free
rabby-tabu-minzamba,2023-10-12,23/24,Willand Rovers,Taunton Town,End of loan,-,loan end
rabby-tabu-minzamba,2023-09-12,23/24,Taunton Town,Willand Rovers,loan transfer,-,loan
rabby-tabu-minzamba,2023-07-01,23/24,Bath City,Taunton Town,free transfer,-,free
rabby-tabu-minzamba,2022-07-01,22/23,Highworth Town,Bath City,free transfer,-,free
rabby-tabu-minzamba,2022-01-01,21/22,Mangotsfield,Highworth Town,free transfer,-,free
rabby-tabu-minzamba,2021-07-01,21/22,Shels Academy,Mangotsfield,free transfer,-,free
ramon-martos,2025-07-01,25/26,Almería U17,Almería U19,-,-,
ramon-martos,2024-07-01,24/25,UD Almería Yout,Almería U17,-,-,
reece-staunton,2025-07-01,25/26,Spennymoor Town,Grimsby Town,?,-,
reece-staunton,2023-07-01,23/24,Bradford PA,Spennymoor Town,free transfer,-,free
reece-staunton,2022-08-12,22/23,Bradford,Bradford PA,?,-,
reece-staunton,2021-12-12,21/22,Bradford PA,Bradford,End of loan,-,loan end
reece-staunton,2021-11-12,21/22,Bradford,Bradford PA,loan transfer,-,loan
reece-staunton,2020-01-08,19/20,Bradford PA,Bradford,End of loan,-,loan end
reece-staunton,2019-12-24,19/20,Bradford U18,Bradford,-,-,
reece-staunton,2019-11-22,19/20,Bradford U18,Bradford PA,loan transfer,-,loan
reece-staunton,2019-09-23,19/20,Ossett United,Bradford U18,End of loan,-,loan end
reece-staunton,2019-08-23,19/20,Bradford U18,Ossett United,loan transfer,-,loan
rhys-bartley,2026-07-03,26/27,St. Pat's,Wexford FC,loan transfer,-,loan
rhys-bartley,2025-11-30,25/26,Bray Wanderers,St. Pat's,End of loan,-,loan end
rhys-bartley,2025-01-07,24/25,St. Pat's,Bray Wanderers,loan transfer,-,loan
rhys-bartley,2023-05-05,22/23,Pat's Academy,St. Pat's,-,-,
ricardo-dinanga,2026-08-08,26/27,Shrewsbury,Spartans,loan transfer,-,loan
ricardo-dinanga,2026-05-31,25/26,Telford Utd,Shrewsbury,End of loan,-,loan end
ricardo-dinanga,2025-08-19,25/26,Shrewsbury,Telford Utd,loan transfer,-,loan
ricardo-dinanga,2025-01-22,24/25,Telford Utd,Shrewsbury,?,-,
ricardo-dinanga,2023-07-18,23/24,Coventry U21,Telford Utd,free transfer,-,free
ricardo-dinanga,2023-05-31,22/23,Nuneaton,Coventry U21,End of loan,-,loan end
ricardo-dinanga,2023-03-23,22/23,Coventry U21,Nuneaton,loan transfer,-,loan
ricardo-dinanga,2022-12-26,22/23,Hereford,Coventry U21,End of loan,-,loan end
ricardo-dinanga,2022-11-25,22/23,Coventry U21,Hereford,loan transfer,-,loan
ricardo-dinanga,2021-07-09,21/22,Cork Academy,Coventry U21,free transfer,-,free
rob-slevin,2026-08-03,26/27,Derry City,Coleraine,loan transfer,€150k,loan
rob-slevin,2026-01-01,25/26,Galway United,Derry City,free transfer,€150k,free
rob-slevin,2023-01-01,22/23,Finn Harps,Galway United,free transfer,€50k,free
rob-slevin,2022-01-04,21/22,Cork City,Finn Harps,free transfer,-,free
rob-slevin,2020-01-01,19/20,Waterford FC,Cork City,free transfer,-,free
rob-slevin,2019-06-21,18/19,UCC,Waterford FC,free transfer,-,free
rob-slevin,2017-07-01,17/18,Carrigaline,UCC,free transfer,-,free
robbie-benson,2026-01-01,25/26,Derry City,Without Club,-,€100k,
robbie-benson,2025-01-20,24/25,Dundalk FC,Derry City,free transfer,€100k,free
robbie-benson,2022-01-01,21/22,St. Pat's,Dundalk FC,free transfer,€100k,free
robbie-benson,2020-01-01,19/20,Dundalk FC,St. Pat's,free transfer,-,free
robbie-benson,2016-01-01,15/16,UCD,Dundalk FC,free transfer,-,free
robbie-benson,2010-07-01,10/11,Athlone Town,UCD,free transfer,-,free
robbie-benson,2008-02-01,07/08,Athlone Academy,Athlone Town,-,-,
robbie-brady,2026-07-01,26/27,Preston,Without Club,-,€100k,
robbie-brady,2022-07-04,22/23,Bournemouth,Preston,free transfer,€1.00m,free
robbie-brady,2021-10-18,21/22,Without Club,Bournemouth,-,€3.00m,
robbie-brady,2021-07-01,21/22,Burnley,Without Club,-,€3.00m,
robbie-brady,2017-01-31,16/17,Norwich,Burnley,€15.10m,€8.00m,fee
robbie-brady,2015-07-29,15/16,Hull City,Norwich,€9.90m,€2.00m,fee
robbie-brady,2013-01-08,12/13,Man Utd U21,Hull City,€2.50m,-,fee
robbie-brady,2013-01-07,12/13,Hull City,Man Utd U21,End of loan,-,loan end
robbie-brady,2012-11-05,12/13,Man Utd U21,Hull City,loan transfer,-,loan
robbie-brady,2012-04-30,11/12,Hull City,Man Utd Res.,End of loan,€100k,loan end
robbie-brady,2011-07-19,11/12,Man Utd Res.,Hull City,loan transfer,-,loan
robbie-brady,2010-07-01,10/11,Man Utd U18,Man Utd Res.,-,-,
robbie-brady,2008-01-01,07/08,St. Kevins Boys,Man Utd U18,?,-,
robbie-mahon,2026-01-15,25/26,Edinburgh City,Airdrieonians,?,-,
robbie-mahon,2025-07-01,25/26,Loughgall,Edinburgh City,free transfer,€50k,free
robbie-mahon,2025-01-02,24/25,Dundalk FC,Loughgall,free transfer,€50k,free
robbie-mahon,2024-01-11,23/24,Motherwell FC,Dundalk FC,free transfer,€50k,free
robbie-mahon,2024-01-04,23/24,Edinburgh City,Motherwell FC,End of loan,€50k,loan end
robbie-mahon,2023-07-14,23/24,Motherwell FC,Edinburgh City,loan transfer,€50k,loan
robbie-mahon,2023-05-31,22/23,Dunfermline A.,Motherwell FC,End of loan,€25k,loan end
robbie-mahon,2022-09-30,22/23,Motherwell FC,Dunfermline A.,loan transfer,€25k,loan
robbie-mahon,2022-03-28,21/22,Bohemians,Motherwell FC,free transfer,€25k,free
robbie-mahon,2021-01-01,20/21,Bohs Academy,Bohemians,-,-,
robert-cornwall,2026-01-13,25/26,Bohemians,Dundalk FC,free transfer,€125k,free
robert-cornwall,2024-01-01,23/24,Hailstorm FC,Bohemians,free transfer,€175k,free
robert-cornwall,2022-01-01,21/22,Bohemians,Hailstorm FC,free transfer,€75k,free
robert-cornwall,2017-01-01,16/17,Shamrock Rovers,Bohemians,free transfer,-,free
robert-cornwall,2015-11-30,15/16,Derry City,Shamrock Rovers,End of loan,-,loan end
robert-cornwall,2015-07-13,15/16,Shamrock Rovers,Derry City,loan transfer,-,loan
robert-cornwall,2014-01-01,13/14,Shelbourne,Shamrock Rovers,free transfer,-,free
robert-cornwall,2013-01-01,12/13,Shels Academy,Shelbourne,-,-,
robert-cornwall,2012-07-01,12/13,Pat's Academy,Shels Academy,free transfer,-,free
rocco-vata,2024-07-05,24/25,Celtic B,Watford,€281k,€50k,fee
rocco-vata,2021-07-08,21/22,Celtic Youth,Celtic B,-,-,
roland-idowu,2026-08-21,26/27,St. Mirren,FC Botosani,?,€150k,
roland-idowu,2025-07-01,25/26,Shrewsbury,St. Mirren,?,€150k,
roland-idowu,2025-06-30,24/25,St. Mirren,Shrewsbury,End of loan,€150k,loan end
roland-idowu,2024-07-01,24/25,Shrewsbury,St. Mirren,loan transfer,€50k,loan
roland-idowu,2024-01-01,23/24,Waterford FC,Shrewsbury,free transfer,€50k,free
