slug,league,club,club_id,age,born,foot,senior_caps,senior_goals,senior_debut,youth,season,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,avg_rating,source
shane-tracey,Premier Division,Dundalk,1853,20,,,,,,,2026,17,5,1,0,528,3,0,41,2,0,6.62,auto
shaun-platt,Premier Division,Dundalk,1853,2025,,,,,,,,,,,,,,,,,,,auto
shay-casey,Premier Division,Dundalk,1853,18,,,,,,,,,,,,,,,2,0,0,,auto
simon-power,Premier Division,St. Patrick's Athletic,1854,28,,Right,,,,U21:4:0:2019,2026,1,0,0,0,14,0,0,159,18,6,6.23,auto
stephen-kenny,Premier Division,St. Patrick's Athletic,1854,54,,,,,,,2026/27,6,,0,0,540,,,,,,,auto
stephen-walsh,Premier Division,Galway United FC,520517,35,,Left,,,,,2026,26,23,4,3,1796,5,0,460,76,8,6.57,auto
theo-hennessy,Premier Division,Drogheda United,8339,2025,,Right,,,,,,,,,,,,,,,,,auto
thomas-oluwa,Premier Division,Drogheda United,8339,25,,,,,,,2026,28,23,4,1,2018,2,0,204,44,2,6.47,auto
todd-bazunu,Premier Division,Shamrock Rovers,4131,18,,,,,,,,,,,,,,,,,,,auto
tom-lonergan,Premier Division,Waterford FC,6042,22,,,,,,U21:4:0:2025; U19:5:3:2022; U16:1:1:2019,2026,26,22,14,3,1939,6,0,142,45,8,7.33,auto
trevor-clarke,Premier Division,Dundalk,1853,28,,Left,,,,U21:::2019; U19:6:0:2016; U17:8:4:2014,2026,7,5,1,0,434,1,0,211,17,8,6.63,auto
tunmise-sobowale,Premier Division,Shamrock Rovers,4131,27,,Right,,,,,2026,25,24,1,3,2087,4,0,222,6,6,7.15,auto
tyreke-wilson,Premier Division,Dundalk,1853,26,,,,,,U21:1:0:2019; U19:9:0:2017; U17:6:0:2015,2026,25,21,4,2,1834,2,1,191,11,10,7.07,auto
victor-ozhianvuna,Premier Division,Shamrock Rovers,4131,17,,Right,,,,U17:9:0:2025,2026,18,14,0,2,1174,2,0,36,1,2,6.92,auto
warren-davis,Premier Division,Drogheda United,8339,21,,,,,,U21:1:0:2025,2026,18,10,3,0,965,0,0,108,13,3,6.55,auto
warren-ohora,Premiership,Hibernian,10251,27,,Right,,,,U19:1:0:2017,2026/27,2,2,0,0,180,0,0,272,13,2,7.00,auto
william-fitzgerald,Premier Division,Shamrock Rovers,4131,27,,,,,,,2026,26,26,5,3,2318,3,0,264,11,23,7.01,auto
wilson-waweru,National League,Wealdstone,161812,25,,,,,,,2026/27,2,0,0,,29,0,0,192,47,1,,auto
zach-dunne,First Division,Cork City,2201,22,,,,,,,,,,,,,,,3,0,0,,auto
zach-nolan,Premier League,The New Saints,7852,21,,,,,,,2026/27,2,,0,0,22,,,44,0,0,,auto
zack-elbouzedi,Premier Division,St. Patrick's Athletic,1854,28,,Right,,,,U21:13:3:2019; U19:6:0:2016; U17:8:1:2014,2026,15,12,4,3,938,0,0,206,22,14,7.09,auto
zak-delaney,Championship,Raith Rovers,10250,24,,Left,,,,,2026/27,3,3,0,1,248,0,0,180,2,7,,auto
zak-gilsenan,National League,FC Halifax Town,10195,23,,,,,,U21:4:1:2023,2026/27,3,3,3,,265,0,0,29,9,2,,auto
zak-osullivan,First Division,Wexford FC,62337,19,,,,,,U19:3:0:2025,,,,,,,,,7,2,0,,auto
zak-reddy,First Division,Bray Wanderers,1629,19,,,,,,,,,,,,,,,,,,,auto
